Season,Match Date,Home Score,Home Team,Away Score,Away Team,Competition,Attendance,Venue,Referee
1985-86,"Sunday, 16th March 1986",21,Sheffield Eagles,14,Blackpool Borough,League 2,400,"Owlerton Stadium, Sheffield, England",John Kendrew
1985-86,"Wednesday, 19th March 1986",15,Carlisle,9,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 23rd March 1986",18,Doncaster,26,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 30th March 1986",36,Sheffield Eagles,6,Huddersfield Barracudas,League 2,650,"Owlerton Stadium, Sheffield, England",Unknown
1985-86,"Sunday, 6th April 1986",9,Keighley,24,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 13th April 1986",8,Sheffield Eagles,6,Batley,League 2,600,"Owlerton Stadium, Sheffield, England",Frank Tickle
1985-86,"Sunday, 20th April 1986",23,Sheffield Eagles,12,Fulham,League 2,700,"Owlerton Stadium, Sheffield, England",Paul Houghton
1985-86,"Wednesday, 23rd April 1986",36,Whitehaven,4,Sheffield Eagles,League 2,,,
1985-86,"Sunday, 27th April 1986",12,Sheffield Eagles,23,Carlisle,League 2,650,"Owlerton Stadium, Sheffield, England",John Holdsworth
1985-86,"Wednesday, 30th April 1986",32,Barrow,8,Sheffield Eagles,League 2,,,
1985-86,"Friday, 2nd May 1986",38,Batley,4,Sheffield Eagles,League 2,,,
1985-86,"Monday, 5th May 1986",16,Sheffield Eagles,14,Workington Town,League 2,500,"Owlerton Stadium, Sheffield, England",Ray Tennant
1985-86,"Wednesday, 7th May 1986",1,Sheffield Eagles,21,Barrow,League 2,600,"Owlerton Stadium, Sheffield, England",Stephen Haigh
1986-87,"Sunday, 31st August 1986",40,Sheffield Eagles,5,Mansfield Marksman,League 2,594,"Owlerton Stadium, Sheffield, England",John Kendrew
1986-87,"Wednesday, 3rd September 1986",22,Sheffield Eagles,20,Doncaster,Yorkshire Cup Preliminary (32),654,"Owlerton Stadium, Sheffield, England",Mick Beaumont
1986-87,"Sunday, 7th September 1986",16,Keighley,29,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 14th September 1986",9,Sheffield Eagles,10,Dewsbury,Yorkshire Cup 1 (16),641,"Owlerton Stadium, Sheffield, England",John Kendrew
1986-87,"Sunday, 21st September 1986",14,Fulham,68,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 28th September 1986",31,Sheffield Eagles,10,Dewsbury,League 2,522,"Owlerton Stadium, Sheffield, England",Gerry Kershaw
1986-87,"Wednesday, 1st October 1986",12,Sheffield Eagles,9,Huddersfield Barracudas,League 2,686,"Owlerton Stadium, Sheffield, England",Steve Cross
1986-87,"Sunday, 5th October 1986",46,Swinton,26,Sheffield Eagles,League 2,Station Road Swinton England,Referee:  Unknown,
1986-87,"Sunday, 12th October 1986",24,Sheffield Eagles,10,Carlisle,League 2,412,"Owlerton Stadium, Sheffield, England",Ray Tennant
1986-87,"Sunday, 19th October 1986",22,Runcorn Highfield,4,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 26th October 1986",14,Sheffield Eagles,32,York,League 2,507,"Owlerton Stadium, Sheffield, England",Geoff Berry
1986-87,"Sunday, 2nd November 1986",24,Bramley,14,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 9th November 1986",17,Sheffield Eagles,8,Fulham,League 2,564,"Owlerton Stadium, Sheffield, England",Kevin Allatt
1986-87,"Thursday, 20th November 1986",8,Huddersfield Barracudas,12,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 23rd November 1986",24,Sheffield Eagles,4,Batley,League 2,567,"Owlerton Stadium, Sheffield, England",Brian Simpson
1986-87,"Sunday, 30th November 1986",14,Sheffield Eagles,6,Bramley,League Cup 1 (32),415,"Owlerton Stadium, Sheffield, England",Stephen Haigh
1986-87,"Sunday, 7th December 1986",8,Sheffield Eagles,14,Barrow,League Cup 2 (16),513,"Owlerton Stadium, Sheffield, England",Fred Lindop
1986-87,"Sunday, 14th December 1986",18,York,28,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 21st December 1986",28,Workington Town,16,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 28th December 1986",10,Mansfield Marksman,26,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 4th January 1987",17,Carlisle,6,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 18th January 1987",12,Sheffield Eagles,14,Bramley,League 2,709,"Headingley, Leeds, England",Mick Beaumont
1986-87,"Sunday, 25th January 1987",14,Sheffield Eagles,17,Swinton,League 2,880,"Owlerton Stadium, Sheffield, England",Steve Cross
1986-87,"Thursday, 5th February 1987",6,Sheffield Eagles,8,Keighley,Challenge Cup 1 (32),375,"Owlerton Stadium, Sheffield, England",Ray Tennant
1986-87,"Sunday, 8th February 1987",34,Sheffield Eagles,14,Workington Town,League 2,341,"Owlerton Stadium, Sheffield, England",Geoff Berry
1986-87,"Sunday, 22nd February 1987",18,Hunslet,10,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 1st March 1987",18,Sheffield Eagles,15,Keighley,League 2,393,"Owlerton Stadium, Sheffield, England",John McDonald
1986-87,"Sunday, 8th March 1987",14,Doncaster,8,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 15th March 1987",6,Dewsbury,28,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 22nd March 1987",7,Batley,28,Sheffield Eagles,League 2,,,
1986-87,"Sunday, 29th March 1987",16,Sheffield Eagles,12,Hunslet,League 2,1211,"Owlerton Stadium, Sheffield, England",Stephen Haigh
1986-87,"Sunday, 12th April 1987",52,Sheffield Eagles,12,Runcorn Highfield,League 2,609,"Owlerton Stadium, Sheffield, England",Fred Lindop
1986-87,"Sunday, 19th April 1987",14,Sheffield Eagles,16,Doncaster,League 2,1922,"Owlerton Stadium, Sheffield, England",Alex Bowman
1986-87,"Sunday, 26th April 1987",29,Whitehaven,24,Sheffield Eagles,2nd Division Premiership QF,,,
1987-88,"Sunday, 30th August 1987",12,Fulham,20,Sheffield Eagles,League 2,,,
1987-88,"Wednesday, 2nd September 1987",8,Mansfield Marksman,32,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 6th September 1987",22,Sheffield Eagles,8,Rochdale Hornets,League 2,752,"Owlerton Stadium, Sheffield, England",Stephen Haigh
1987-88,"Sunday, 13th September 1987",32,Wakefield Trinity,18,Sheffield Eagles,Yorkshire Cup 1 (16),,,
1987-88,"Friday, 18th September 1987",10,Barrow,8,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 27th September 1987",18,Sheffield Eagles,13,Whitehaven,League 2,721,"Owlerton Stadium, Sheffield, England",John Kendrew
1987-88,"Sunday, 4th October 1987",17,York,20,Sheffield Eagles,League 2,,,
1987-88,"Wednesday, 7th October 1987",20,Sheffield Eagles,10,Bramley,League 2,426,"Owlerton Stadium, Sheffield, England",Fred Lindop
1987-88,"Sunday, 11th October 1987",44,Oldham,20,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 18th October 1987",12,Sheffield Eagles,14,Wakefield Trinity,League 2,1183,"Owlerton Stadium, Sheffield, England",Dennis Drinkwater
1987-88,"Sunday, 25th October 1987",7,Rochdale Hornets,2,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 8th November 1987",10,Sheffield Eagles,30,Mansfield Marksman,League 2,495,"Owlerton Stadium, Sheffield, England",Colin Steele
1987-88,"Sunday, 15th November 1987",34,Wigan,8,Sheffield Eagles,League Cup 1 (32),,,
1987-88,"Sunday, 22nd November 1987",10,Sheffield Eagles,10,Featherstone Rovers,League 2,785,"Owlerton Stadium, Sheffield, England",Geoff Berry
1987-88,"Sunday, 29th November 1987",16,Sheffield Eagles,6,Fulham,League 2,466,"Owlerton Stadium, Sheffield, England",Jim Smith
1987-88,"Sunday, 6th December 1987",6,Batley,22,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 13th December 1987",45,Sheffield Eagles,16,York,League 2,480,"Owlerton Stadium, Sheffield, England",Paul Volante
1987-88,"Sunday, 20th December 1987",14,Carlisle,12,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 27th December 1987",2,Doncaster,32,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 3rd January 1988",6,Bramley,12,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 10th January 1988",22,Sheffield Eagles,0,Barrow,League 2,483,"Owlerton Stadium, Sheffield, England",Gerry Kershaw
1987-88,"Friday, 15th January 1988",6,Bramley,14,Sheffield Eagles,Challenge Cup Preliminary (64),,,
1987-88,"Sunday, 24th January 1988",12,Sheffield Eagles,10,Carlisle,League 2,446,"Owlerton Stadium, Sheffield, England",Jim Smith
1987-88,"Sunday, 31st January 1988",10,Wakefield Trinity,14,Sheffield Eagles,Challenge Cup 1 (32),,,
1987-88,"Sunday, 14th February 1988",26,Hull,6,Sheffield Eagles,Challenge Cup 2 (16),,,
1987-88,"Sunday, 21st February 1988",14,Wakefield Trinity,6,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 28th February 1988",12,Sheffield Eagles,18,Batley,League 2,583,"Owlerton Stadium, Sheffield, England",Steve Cross
1987-88,"Sunday, 6th March 1988",18,Sheffield Eagles,16,Dewsbury,League 2,462,"Owlerton Stadium, Sheffield, England",Colin Steele
1987-88,"Sunday, 13th March 1988",40,Featherstone Rovers,10,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 20th March 1988",14,Whitehaven,16,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 27th March 1988",15,Sheffield Eagles,28,Oldham,League 2,2316,"Owlerton Stadium, Sheffield, England",John Holdsworth
1987-88,"Sunday, 10th April 1988",30,Sheffield Eagles,14,Doncaster,League 2,2397,"Bramall Lane, Sheffield, England",Frank Tickle
1987-88,"Sunday, 17th April 1988",42,Dewsbury,16,Sheffield Eagles,League 2,,,
1987-88,"Sunday, 24th April 1988",11,Springfield Borough,10,Sheffield Eagles,2nd Division Premiership QF,,,
1988-89,"Sunday, 28th August 1988",13,Sheffield Eagles,10,Bramley,League 2,700,"Owlerton Stadium, Sheffield, England",Brian Simpson
1988-89,"Wednesday, 31st August 1988",8,Sheffield Eagles,28,Wakefield Trinity,Yorkshire Cup Preliminary (32),1356,"Owlerton Stadium, Sheffield, England",John Holdsworth
1988-89,"Sunday, 4th September 1988",21,Fulham,20,Sheffield Eagles,League 2,,,
1988-89,"Sunday, 11th September 1988",11,Sheffield Eagles,11,Barrow,League 2,365,"Owlerton Stadium, Sheffield, England",Geoff Berry
1988-89,"Wednesday, 21st September 1988",27,Sheffield Eagles,14,Mansfield Marksman,League 2,380,"Owlerton Stadium, Sheffield, England",Alan Burke
1988-89,"Sunday, 25th September 1988",12,Leigh,8,Sheffield Eagles,League 2,1789,,
1988-89,"Sunday, 9th October 1988",4,Chorley Borough,14,Sheffield Eagles,League 2,,,
1988-89,"Sunday, 16th October 1988",17,Sheffield Eagles,30,Leigh,League 2,903,"Owlerton Stadium, Sheffield, England",Frank Tickle
1988-89,"Sunday, 23rd October 1988",10,Sheffield Eagles,17,Batley,League 2,515,"Owlerton Stadium, Sheffield, England",Ken Spencer
1988-89,"Wednesday, 26th October 1988",28,Sheffield Eagles,16,York,League 2,481,"Owlerton Stadium, Sheffield, England",Kieron Morris
1988-89,"Sunday, 6th November 1988",34,Sheffield Eagles,6,Keighley,League 2,484,"Owlerton Stadium, Sheffield, England",Jim Smith
1988-89,"Sunday, 13th November 1988",80,Sheffield Eagles,8,Wigan St. Patricks,League Cup 1 (32),621,"Owlerton Stadium, Sheffield, England",Charlie Tidball
1988-89,"Sunday, 20th November 1988",4,Huddersfield,30,Sheffield Eagles,League 2,,,
1988-89,"Sunday, 27th November 1988",9,Sheffield Eagles,32,Widnes,League Cup 2 (16),2716,"Owlerton Stadium, Sheffield, England",Stephen Haigh
1988-89,"Sunday, 11th December 1988",12,Keighley,34,Sheffield Eagles,League 2,,,
1988-89,"Sunday, 18th December 1988",50,Sheffield Eagles,8,Dewsbury,League 2,814,"Owlerton Stadium, Sheffield, England",Kevin Dockray
1988-89,"Monday, 26th December 1988",20,Doncaster,34,Sheffield Eagles,League 2,,,
1988-89,"Monday, 2nd January 1989",10,Mansfield Marksman,50,Sheffield Eagles,League 2,,,
1988-89,"Sunday, 15th January 1989",4,Batley,42,Sheffield Eagles,League 2,,,
1988-89,"Sunday, 22nd January 1989",23,Sheffield Eagles,6,Swinton,League 2,1034,"Owlerton Stadium, Sheffield, England",Kevin Allatt
1988-89,"Sunday, 29th January 1989",23,Sheffield Eagles,17,Leigh,Challenge Cup 1 (32),1898,"Owlerton Stadium, Sheffield, England",Robin Whitfield
1988-89,"Sunday, 5th February 1989",13,Bramley,9,Sheffield Eagles,League 2,,,
1988-89,"Sunday, 12th February 1989",20,Sheffield Eagles,32,Oldham,Challenge Cup 2 (16),3636,"Owlerton Stadium, Sheffield, England",John Holdsworth
1988-89,"Sunday, 19th February 1989",24,Sheffield Eagles,0,Huddersfield,League 2,7740,"Owlerton Stadium, Sheffield, England",Geoff Berry
1988-89,"Sunday, 26th February 1989",14,Swinton,30,Sheffield Eagles,League 2,Station Road Swinton England,Referee:  Unknown,
1988-89,"Sunday, 5th March 1989",25,Sheffield Eagles,26,Doncaster,League 2,2254,"Owlerton Stadium, Sheffield, England",Colin Steele
1988-89,"Sunday, 12th March 1989",24,Sheffield Eagles,10,Hunslet,League 2,774,"Owlerton Stadium, Sheffield, England",Alex Bowman
1988-89,"Sunday, 19th March 1989",20,Barrow,24,Sheffield Eagles,League 2,,,
1988-89,"Friday, 24th March 1989",0,York,21,Sheffield Eagles,League 2,,,
1988-89,"Sunday, 26th March 1989",24,Sheffield Eagles,16,Fulham,League 2,1005,"Owlerton Stadium, Sheffield, England",John Whitelam
1988-89,"Sunday, 2nd April 1989",26,Sheffield Eagles,8,Chorley Borough,League 2,1252,"Owlerton Stadium, Sheffield, England",Colin Morris
1988-89,"Sunday, 9th April 1989",18,Dewsbury,11,Sheffield Eagles,League 2,,,
1988-89,"Sunday, 16th April 1989",32,Hunslet,6,Sheffield Eagles,League 2,,,
1988-89,"Sunday, 23rd April 1989",28,Sheffield Eagles,10,Doncaster,2nd Division Premiership QF,1725,"Owlerton Stadium, Sheffield, England",John Holdsworth
1988-89,"Sunday, 7th May 1989",6,Barrow,9,Sheffield Eagles,2nd Division Premiership Semi,,,
1988-89,"Sunday, 14th May 1989",18,Swinton,43,Sheffield Eagles,2nd Division Premiership Final,Neutral Venue: Old Trafford Trafford England,Referee: Robin Whitfield,
1989-90,"Sunday, 3rd September 1989",20,Sheffield Eagles,36,St. Helens,League,6200,"Hillsborough, Sheffield, England",John Holdsworth
1989-90,"Sunday, 10th September 1989",12,Featherstone Rovers,37,Sheffield Eagles,League,,,
1989-90,"Sunday, 17th September 1989",5,Batley,36,Sheffield Eagles,Yorkshire Cup 1 (16),,,
1989-90,"Sunday, 24th September 1989",10,Barrow,22,Sheffield Eagles,League,,,
1989-90,"Wednesday, 27th September 1989",19,Bradford Northern,6,Sheffield Eagles,Yorkshire Cup QF,,,
1989-90,"Sunday, 1st October 1989",16,Wakefield Trinity,28,Sheffield Eagles,League,,,
1989-90,"Sunday, 8th October 1989",31,Sheffield Eagles,6,Widnes,League,8636,"Bramall Lane, Sheffield, England",Ray Tennant
1989-90,"Sunday, 15th October 1989",24,Castleford,22,Sheffield Eagles,League,,,
1989-90,"Sunday, 29th October 1989",16,Sheffield Eagles,27,Leeds,League,4622,"Saltergate, Chesterfield, England",Robin Whitfield
1989-90,"Sunday, 5th November 1989",10,Sheffield Eagles,22,Wigan,League,7642,"Hillsborough, Sheffield, England",Colin Morris
1989-90,"Wednesday, 8th November 1989",4,Warrington,12,Sheffield Eagles,League Cup Preliminary (64),,,
1989-90,"Sunday, 12th November 1989",22,Warrington,36,Sheffield Eagles,League,,,
1989-90,"Sunday, 19th November 1989",14,Sheffield Eagles,34,Bradford Northern,League,2986,"Saltergate, Chesterfield, England",Gerry Kershaw
1989-90,"Sunday, 26th November 1989",20,Salford,20,Sheffield Eagles,League,,,
1989-90,"Friday, 1st December 1989",36,Sheffield Eagles,22,Rochdale Hornets,League Cup 1 (32),2307,"Thrum Hall, Halifax, England",Gerry Kershaw
1989-90,"Sunday, 10th December 1989",6,Swinton,28,Sheffield Eagles,League Cup 2 (16),Station Road Swinton England,Referee:  Unknown,
1989-90,"Sunday, 17th December 1989",2,Sheffield Eagles,18,Castleford,League Cup QF,3014,"Saltergate, Chesterfield, England",Colin Morris
1989-90,"Tuesday, 26th December 1989",15,Hull,6,Sheffield Eagles,League,,,
1989-90,"Wednesday, 3rd January 1990",20,Sheffield Eagles,30,Featherstone Rovers,League,2756,"Belle Vue, Wakefield, England",Tom Crashley
1989-90,"Sunday, 7th January 1990",8,Sheffield Eagles,12,Warrington,League,1298,"Tattersfield, Doncaster, England",Alex Bowman
1989-90,"Tuesday, 16th January 1990",30,Wigan,2,Sheffield Eagles,League,,,
1989-90,"Sunday, 21st January 1990",28,Leigh,16,Sheffield Eagles,League,2852,,
1989-90,"Sunday, 28th January 1990",12,Barrow,22,Sheffield Eagles,Challenge Cup 1 (32),,,
1989-90,"Sunday, 4th February 1990",24,Sheffield Eagles,10,Wakefield Trinity,League,5104,"Oakwell, Barnsley, England",John Kendrew
1989-90,"Sunday, 11th February 1990",27,Wakefield Trinity,12,Sheffield Eagles,Challenge Cup 2 (16),,,
1989-90,"Sunday, 18th February 1990",44,Leeds,2,Sheffield Eagles,League,,,
1989-90,"Sunday, 25th February 1990",40,Sheffield Eagles,2,Barrow,League,1002,"Tattersfield, Doncaster, England",David Asquith
1989-90,"Sunday, 4th March 1990",46,Sheffield Eagles,4,Leigh,League,1106,"Tattersfield, Doncaster, England",Kevin Allatt
1989-90,"Friday, 9th March 1990",14,Sheffield Eagles,18,Castleford,League,4169,"Tattersfield, Doncaster, England",Tom Crashley
1989-90,"Sunday, 18th March 1990",28,Bradford Northern,16,Sheffield Eagles,League,,,
1989-90,"Sunday, 25th March 1990",17,Sheffield Eagles,12,Salford,League,1121,"Tattersfield, Doncaster, England",David Asquith
1989-90,"Sunday, 1st April 1990",52,Widnes,20,Sheffield Eagles,League,,,
1989-90,"Sunday, 8th April 1990",42,St. Helens,26,Sheffield Eagles,League,,,
1989-90,"Sunday, 15th April 1990",4,Sheffield Eagles,32,Hull,League,5856,"Bramall Lane, Sheffield, England",Tom Crashley
1990-91,"Sunday, 19th August 1990",20,Bradford Northern,12,Sheffield Eagles,Yorkshire Cup Preliminary (32),,,
1990-91,"Sunday, 9th September 1990",18,Wigan,18,Sheffield Eagles,League,,,
1990-91,"Sunday, 16th September 1990",20,Rochdale Hornets,24,Sheffield Eagles,League,,,
1990-91,"Wednesday, 26th September 1990",34,Sheffield Eagles,6,Wakefield Trinity,League,7984,"Don Valley Stadium, Sheffield, England",Ray Tennant
1990-91,"Sunday, 30th September 1990",18,Sheffield Eagles,20,Warrington,League,4920,"Don Valley Stadium, Sheffield, England",Russell Smith
1990-91,"Sunday, 7th October 1990",25,Featherstone Rovers,22,Sheffield Eagles,League,,,
1990-91,"Sunday, 14th October 1990",14,Sheffield Eagles,24,Oldham,League,5189,"Don Valley Stadium, Sheffield, England",John Whitelam
1990-91,"Sunday, 21st October 1990",34,Hull,6,Sheffield Eagles,League,,,
1990-91,"Tuesday, 30th October 1990",16,Sheffield Eagles,36,Bradford Northern,League,4119,"Don Valley Stadium, Sheffield, England",John Kendrew
1990-91,"Sunday, 11th November 1990",34,St. Helens,17,Sheffield Eagles,League,,,
1990-91,"Sunday, 18th November 1990",8,Sheffield Eagles,12,Bradford Northern,League Cup Preliminary (64),2788,"Don Valley Stadium, Sheffield, England",David Campbell
1990-91,"Sunday, 25th November 1990",30,Warrington,8,Sheffield Eagles,League,,,
1990-91,"Sunday, 16th December 1990",6,Sheffield Eagles,24,Leeds,League,4714,"Don Valley Stadium, Sheffield, England",David Asquith
1990-91,"Sunday, 23rd December 1990",18,Sheffield Eagles,8,St. Helens,League,3111,"Don Valley Stadium, Sheffield, England",Dave Carter
1990-91,"Saturday, 29th December 1990",16,Hull Kingston Rovers,16,Sheffield Eagles,League,,,
1990-91,"Sunday, 6th January 1991",4,Sheffield Eagles,46,Wigan,League,4814,"Don Valley Stadium, Sheffield, England",Gerry Kershaw
1990-91,"Sunday, 13th January 1991",38,Leeds,16,Sheffield Eagles,League,,,
1990-91,"Sunday, 20th January 1991",30,Sheffield Eagles,16,Rochdale Hornets,League,2160,"Don Valley Stadium, Sheffield, England",Brian Galtress
1990-91,"Wednesday, 30th January 1991",19,Sheffield Eagles,6,Hull,Challenge Cup Preliminary (64),2847,"Don Valley Stadium, Sheffield, England",John Connolly
1990-91,"Sunday, 3rd February 1991",24,Sheffield Eagles,27,Featherstone Rovers,League,3206,"Don Valley Stadium, Sheffield, England",Robin Whitfield
1990-91,"Sunday, 17th February 1991",19,Sheffield Eagles,12,Featherstone Rovers,Challenge Cup 1 (32),2910,"Don Valley Stadium, Sheffield, England",John Holdsworth
