Timestamp,Are you:,When did you first attend a Sheffield Eagles game?,Would you class yourself as:,When did you last attend a game (home or away)?,What made you first start watching the Sheffield Eagles?,What is your favourite memory of the Sheffield Eagles? ,"Do you have any Sheffield Eagles memorabilia - old photographs, match day programmes, stickers, shirts, press cuttings etc - that you'd be willing to share with the project? If so please provide brief details. ","Can you quickly describe what the Sheffield Eagles means to you, this could be because you are a supporter, a player, a sponsor or an organisation that works with the Club. ",What are some of the stories that are part of the history of the Sheffield Eagles that you think deserve sharing to a wider audience? ,Which of the following would you be interested in taking part in? Please tick as many that apply. You aren't committing yourself to anything we just want to see what people might be interested in.,"What do you see as the possible benefits of a project like this, for you personally, the organisation you work for, rugby league in general or the club specifically? ",Do you think there is a need for a project like this? If so could you say what that need is.,Please let us have any other comments about the project. ,Are You? ,How old are you? ,How would you describe yourself,Could you provide your postcode? This will help us understand where people are responding from. ,,,
9/2/2021 15:08:38,A player or member of club staff,1984 - 1990,kitman,29 sept  v london away,curiosity,promotion 1989,"yes ,  loads, all sorts of things",they are a major part of my life,,Attending events and talks about the history of the club,"anything that might promote interest in the club is extremely important
","yes,  as previous answer   ",,Male,60-69,White,S6,,,
9/2/2021 15:09:23,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Home game against Oldham,"My Dad took me to a game when I was 10 years old (I'm now 43) I met a friend of my Dad's who introduced me to Women's Rugby and that's when my love of the game started, both playing and watching the Eagles. ","I loved the game against Widnes at bramall lane (just after they were crowned world club champions) they had so many top players in the Widnes team and the Eagles won. I remember this was the moment I fell in love with the sport.
Also the first time the Eagles beat Wigan was a fantastic game too. ",Think my dad has lots in his loft ,"The Eagles are and have been a big part of my family, both myself and my Dad have season tickets and so do my 2 children. I have grown up with the Eagles. My daughter is a Eaglett cheerleader and myself and my son and sometimes my daughter participate in the Wheelchair Rugby on a Monday night. My daughter has started to go to Rugby training down at the Hillsborough Hawks and is hoping a girls rugby team will be set up soon.
Rugby is a huge part of my family life and the Eagles are too. ","Definitely the 2 Wembley final games.
Don Valley Stadium era. (it was a place to call home even if we were so far away from the pitch) some happy memories there.
Running around Don Valley to raise money to bring Lee Jackson to the club.
The Widnes game at Bramall Lane.
The Yorkshire Cup final.
The past and present players - we have had some amazing players at the club.
Supporters - Kath Owen, Katie Peat etc...
Hawks development Ian Anis, Ted & Teresa Dowde and many more...
Lack and loss of funding and the ground situation for the Eagles the battle to keep going. 
The future - Wheelchair Rugby, A women's team/girls team (back in Sheffield - I have past videos photos) developing the game in the City.
A new ground, a new era, a new beginning and hopefully a chance to develop the game and supporters in Sheffield. ","Taking part in researching the history of the club, Cataloguing, digitising and recording memorabilia, Attending events and talks about the history of the club, Researching players - the games they played for their club, their backgrounds, their stories","Development of Rugby league in Sheffield, increasing awareness and profile for past present and future people. Giving people the chance to explore the Eagles history and the achievements of the club. ",Yes. History is very important ,,Female,40-49,White,S60,,,
9/2/2021 16:08:53,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who attends games home or away on a regular basis,Last Weekend London Away,My uncle and auntie introduced me to the sport.,Going to Don Valley and the 1895 cup at Wembley ,,A passion that is shared with my relatives and enjoy watching the sport in general,,"Researching players - the games they played for their club, their backgrounds, their stories",Help to push the sport of rugby out more. Especially as we live in a city dominated by football.,"Yes, more funding will be essential in getting an academy team back which is crucial in our survival having more young talent",,Female,16-25,White,S9,,,
9/2/2021 16:35:51,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1984 - 1990,Someone who used to attend games,2019,Lived quite near Owlerton and there was nothing else to do on a Sunday!,"Challenge Cup win, promotion to top flight in 1989, premiership wins at Old Trafford.",Sadly not.,Love the history having followed since the first season. Love the never say die attitude we have fostered despite all the hard times.,"Not sure, the main one is the cup win but that is a pretty well known story. I am not sure much else will capture a wider audience.",,Anything that gets people talking about RL or the Eagles is a positive thing.,Yes if we are to relaunch successfully at the OLP.,,Male,50-59,White,CM23,,,
9/2/2021 16:50:00,Former player and Academic who may be able to help,1984 - 1990,Former player with an interest in the Clubs development,Sheffield v Bradford Bulls 2019,Signed for the club in...1988 I think,The camaraderie of the players and supporters,Yes,"It's the whole underdog ethos of the club for me, no one has ever gicven the Club it's due consideration yet the consistently compete and are successful when actually they have no right to do so...it's a fundamental sporting attribute of playing in the hope of success but in professional Rugby league it means much more",It's original concept and way it started with Gary Hetherington to it's Webley and First Division success but also it's communities stories from humble bveginnings to competing in the Championship week in and week out...it's b]never say die attitude...,"Being part of the project steering group, Taking part in researching the history of the club, Carrying out interviews with players, staff or supporters to gather their stories, Researching players - the games they played for their club, their backgrounds, their stories, Talking with people who aren't supporters about the project, getting them involved","Potential growth through the interest, raising the clubs profile and evidencing sucess without funding to attract funding especially in the way ther club works with diverse parts of the game","Yes, absolutely","Yes, I think someone such as Tony Collins-the Rugby league historian would be interetsed in helping and perhaps a partnership with an appropriate research institute in sustainability or sp[orts development etc wopuld be very useful",Male,50-59,Other,DL8,,,
9/2/2021 17:00:02,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,22nd august 2021,I was fed up with football racism and it’s whole ethos. More women watched rugby league as apposed to football at that time.,Challenge cup final,,"I love the Eagles, they are like a family.",Our achievements and our struggle and survival against all that is thrown at us.,Attending events and talks about the history of the club,It could spread word of and promote the Eagles,,,Female,70 or older,White,S10,,,
9/2/2021 17:22:38,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,August 2021,Introduced by friend,Winning the 1895 cup at Wembley,not at this time,,,Attending events and talks about the history of the club,The role and contribution of Rugby League to the history and identity of Sheffield and the wider area.  This can sometimes be over looked.  Sheffield is often seen as a football city. ,Yes.  The risk is that it could be lost.,,Male,50-59,White,S65,,,
9/2/2021 17:40:09,A player or member of club staff,1984 - 1990,Someone who attends games home or away on a regular basis,29 Aug 2021,I was invited to help at the club,Wembley 1998,"I passed most of the programmes and cuttings I had to the Rugby League Archive,  I still have a few.",It's been an opportunity to see professional sport from the inside,"Probably the constant battle to keep afloat, particularly over the last eight years, the determination of Mark Aston to keep Rugby League alive in Sheffield, despite all the obstacles placed in front of him.",Taking part in researching the history of the club,Raising awareness of the game in Sheffield and the surrounding area.,"Maybe, if it raises awareness",,Male,60-69,White,WF8,,,
9/2/2021 18:35:36,A player or member of club staff,1984 - 1990,A current or former player,2012,,98 challenge cup win,,A great club run by rugby league die hards. It has helped grow the game in South Yorkshire and beyond giving an opportunity to young players to enjoy rugby league in schools and clubs around Sheffield. The club has played a major part in the city’s more recent sporting history. ,The ongoing relentless effort which has been going on since day one to provide Sheffield with a rugby league team to be proud of. It’s not always about the wins on the field but also the way in which the club and the people who have passed through the doors have given so many people an avenue to enjoy rugby league and the sporting experience  as a whole. ,,Rugby league in general and the story of the growth of the game in the Sheffield community ,"Yes, tell the stories of the history. Where the club began and all of the people who have taken part in the journey along the way",,Male,40-49,White,,,,
9/2/2021 18:36:25,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,15th August 2021,Taught by Eagles players at Secondary School,Playing Australia at Don Valley,"Programmes, and shirts","Being a supporter of Sheffield Eagles is like been part of a big families, and sharing the good times and the bad times as a fan.. Also meeting along the way the likes of Gary Hetherington, Mark Aston and Brian Aston and seeing there love of the game... Sheffield Eagles are like Hendo's a part of the fabric of Sheffield. ",Sheffield Eagles involvement with Youth Development of RL in Sheffield ,"Being part of the project steering group, Talking with people who aren't supporters about the project, getting them involved","For the club to record the history, the fan stories for future fans.",I think there is as the Eagles are part of Sheffield's sporting heritage,,Male,40-49,White,S74,,,
9/2/2021 18:45:57,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,15th Aug 2021,Playing the game at school,Challenge Cup win against wigan,not sure will need to check,"Family, community  the ability to support the greatest game  and hard working and dedicated individuals","The early struggles, its  impact on Sheffield , its diversity of players and coaches , its community work","Being part of the project steering group, Taking part in researching the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc","being able to access the vast array of information that is currently hidden away and unknown by supporters , sharing the great stories and personalities that have  brought rugby league to life in sheffield.","yes , rugby league is a  much under reported and recorded sport and has  a rich and diverse history within the city, sharing this history will support community engagement and building.",i would hope that this project would be used to create a wider sporting museum covering Sheffield's sporting heritage of which the eagles has played a big part.,Male,40-49,White,S12,,,
9/2/2021 19:07:29,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Oldham H last month,Always supported my local RL Team ever since I was born in Leeds,Challenge Cup victory and the recent Wembley win as well ,Yes - most of it I have digitised into pdf format so it is easily transferable.,"I support the club with passion as I see it as an integral part of my social life.  That is why I have started to digitise all my old news cuttings, articles. programmes and other memorabilia as it was my intention to preserve this and also pass it on to others.","It's initial formation and the successes that it brought and the more recent reformation following the SL decision the merge the original club with Huddersfield.  Since the reformation we have had many ups and downs but with the emergence of the new stadium, I forsee a healthy future for the club.   But that will require attracting new supporters  to the club as well as to the sport to maintain that future as some of us oldies start to near the end of our lives.  it is important that our memories live on and this proposed venture is the ideal vehicle for doing just that.","Being part of the project steering group, Taking part in researching the history of the club, Carrying out interviews with players, staff or supporters to gather their stories, Cataloguing, digitising and recording memorabilia, Attending events and talks about the history of the club, Taking part in researching the history of the area, Helping write about the club for newsletters, exhibitions, leaflets and publications, Researching players - the games they played for their club, their backgrounds, their stories, Talking with people who aren't supporters about the project, getting them involved, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc, To Help develop and deliver the necessary training  in the areas of research /interview skills ","For me it will enable me to use my skills to contribute to ensuring the success of a project related to a club and a sport I am passionate about. For the sport in Sheffield it will help to enhance the profile amongst the wider community, and for the club it will generate a new generation of supporters that will help to maintain and successfully progress in the future'","The club is an integral part of  many supporters lives ,the City of Sheffield and the wider Rugby League community.  It is imperative that what has gone before needs to be maintained  and being readily available and easily accessible to all or it could well l be lost to future generations.  This project is one vehicle through which that can be achieved.","I think that my previous answers go a small way to adressing this.  I am happy to get more involved, shoud you require me to do so.",Male,60-69,White,S6,,,
9/2/2021 20:20:55,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,15 August 2021,Friends were interested and husband has watched rugby league since he was a boy,Winning Challenge Cup,"Programmes, shirts, badges, photos. Would only share if I got them back afterwards.",It is the city’s major rugby league club and Sheffield people should support it so Sheffield young people have the opportunity to play the game.,Gary Hetherington’s marketing schemes and competitions for kids eg Keep Bruce Loose. Why the Widnes bus was delayed leaving after the 1895 cup final victory. My young daughter’s comments about the Wigan supporters (who were on the tube with us) after the Challenge Cup victory.,"Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications","The club needs a lot more publicity to widen its audience, hopefully this project will increase interest.","Yes, because many ex supporters and supporters of other sports in Sheffield do not even know that the club still exists.",Nothing more at the moment.,Female,60-69,White,S35,,,
9/2/2021 20:39:52,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who attends games home or away on a regular basis,August,I watched the challenge cup with my dad and asked if he'd take me to a game,"Back to back champions, what a team wee had then","Badges
Jewelry
Shirts
Scarves
Car stickers
Programmes 
Shares
News papers 
Books ","I'd be lost without the Eagles, it's where I go with my dad and sister and now my own kids. We all love the club and this last 8 years has been horrendous.  I've done two petitions, had meetings with the council, just to try and help in anyway I could to keep us going",Me and my sister were filmed at the DVS to appear in an advert for Super League.  It was actually used for Sky!,,,"Probably to get people intrested in the club and the sport. To bring ex fans back that have drifted away, due 
to everything that's gone off over the last 8 years. The club has achieved so much in its short history, our ""city of sport"" should be proud of us, it doesn't feel like it is most of the time",Good luck,Female,50-59,White,S20,,,
9/2/2021 21:07:01,Former member of staff,2001 - 2010,Someone who occasionally attends home games,2019,Knew one of the players,Winning the National League 2 Promotional Final in 2006,"2003 League Leaders Medal - some photographs from 2003 to 2007 - a lot of tales and stories about how it was to work for the club, the challenges of keeping things going in some dark financial times, a lot of fun and laughter about events etc. ","Sheffield Eagles gave me my first job at the start of a career in sport and some great foundation experiences which I am eternally grateful for. Even though I have not been involved in the day to day running of the club or regularly attended games for over a decade, it is the first result I look for each week and the club that I would call ""mine"". ","Some transfer stories and player signing stories
Forgetting to take the kit to Dewsbury for a game
Stories from fundraising events where things went well and not so well
Positive stories of developing and growing the game in the early part of the millenium.
Disruption by other events at Don Valley Stadium such as Rolling Stones, Red Hot Chilli Peppers and ""The Games"" TV show.
","Being part of the project steering group, Helping write about the club for newsletters, exhibitions, leaflets and publications, Talking with people who aren't supporters about the project, getting them involved",The online resource excites me as it will give me an opportunity to research the players who played for the club who went on to other clubs. I'm also interested in the links that Sheffield Eagles has to the England Universties side over the years as a close follower of student rugby league. I also think that being able to accurately chart the history of the club will mean that the generations to come can be the guardians of a complete history. ,Yes - nothing exists that captures the history of this great club and allows our fans and the people of Sheffield to celebrate the achievements and understand the impact that it has had on the city region. ,,Male,40-49,White,S20,,,
9/2/2021 21:55:01,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who used to attend games,Don Valley,Enjoyed rugby league,Cup final 2000,If I can dig any up you can have the lot,Supporter and former alliance player,Former players stories,"Helping write about the club for newsletters, exhibitions, leaflets and publications, Researching players - the games they played for their club, their backgrounds, their stories",Anything that grows the supporter base,"Yes, we need to prove our links to everybody in the city and how we are part of it",,Male,40-49,White,S4 ,,,
9/2/2021 23:31:29,A player or member of club staff,2011- 2021,Staff member who attends games but would attend if didn’t work for the club ,27th June ,Working for the club,Winning at Wembley and the back to back grand finals ,Programmes ,,"Back to back grand final winners, 1895 cup winners at Wembley, the amalgamation of the the club and it’s rebirth ",,,,,Female,25-39,White,,,,
9/3/2021 8:27:11,"I was involved with the club in the first season. I was a Director, ran the match day, edited the programme, began work on a development programme. I was also involved with the Alliance team and Development programme in the season prior to the merger.",1984 - 1990,A former administrator,2014,I was working for the club as a Director and administrator (unpaid),"The first game and playing away against Swinton, at Bolton",I have most of the programmes from the first season,I have some good and bad memories of the first season and the season before the merger,A number of stories of events leading up to the first game. Some games in the first season that were memorable for interesting reasons. Some of the background to the merger.,I now live in York so it may not be easy to be involved with the steering group but I would be interested in sharing my memories,I would like to share my memories and help people to understand what happened in the first season and before the merger.,"Yes, I was involved in writing the Huddersfield RL history that the Huddersfield Heritage Group published and recognise that it is important that the history of rugby league clubs is recorded",You are fortunate to have a number of people currently involved with the club who can add their memories ,Male,70 or older,White,YO31,,,
9/3/2021 8:55:01,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who attends games home or away on a regular basis,15 August 2021,I became interested in rugby league when my employer (Powergen) started to sponsor the Challenge Cup. Once hooked it was an obvious transition to support my home town team.,Watching Menzie Yere,None,"At its heart Sheffield Eagles is a community rugby league club. On the playing field the club has arguably outpunched its weight and enjoyed significant success. The number of supporters is such that regular attendees recognise and speak to each other, and club staff interact with supporters. It's a big enough group to have a collection of characters on and off the field. As much as I enjoy watching the sporting contest on the field, groups of players come and go, it's the sense of community that keeps me coming back.",The search for an enduring home ground and base is remarkable. At times I have been surprised that the club has continued to exist. I don't think that the story of what I suspect is a small number of individuals who have kept the club going has been properly told.,Attending events and talks about the history of the club,The narrative of the life of a club is inspiring. It would enhance the basis of the club community now and into the future. The foundation of rugby league as a sport is its clubs. If there are more clubs which have stronger foundations the sport will have a better long term outlook.,There is a need for a project like this. The Sheffield Eagles history is within living memory and therefore a comprehensive archive can be compiled that will be an accurate record for future generations of rugby league supporters to consult.,I have no further comments,Male,50-59,White,NG9,,,
9/3/2021 9:14:35,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,Eagles v Oldham - August 2021,Free tickets from school,Winning the 1895 Cup at Wembley,"Yes, I have an extensive collection of programmes, and am only missing around 30 programmes - home and away - from 1984. I also have plenty of old ticket stubs and season ticket booklets",A passionate supporter of the club ,,"Taking part in researching the history of the club, Cataloguing, digitising and recording memorabilia, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",I am interested in the heritage project so that future supporters of the club can access the information,"Yes, it is important for future generations",,Male,25-39,White,S12,,,
9/3/2021 9:26:16,A player or member of club staff,2001 - 2010,Someone who attends games home or away on a regular basis,29th August 2021,As a student went to the University Varsity game which was a curtain raiser and stayed for the Eagles game.,Winning the 1895 Cup,Probably have a few old programmes from 2018 and 2019.,The Eagles are the club that gave me my opportunity to work within professional sport. I work with dual career elite student athletes in my main job but the Eagles gave me the chance to break into professional sport and that has opened many new doors for career development that previously wouldn't have been accessible.,"I think the story of that 1895 Cup winning team from my time at the club is a great story to tell. Bringing together a new squad, some old faces and some new. How the came together and were probably still underdogs regardless of how we'd done all season. The way the staff pulled together to support that process too was amazing.","Being part of the project steering group, Attending events and talks about the history of the club, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc","A project like this just adds a huge amount of visibility to a part of Sheffield history that is probably almost always overlooked. It will give the credit where it's due to a sport and a club that's seemingly constantly under pressure but always finds a way to succeed. It will also open up the doors for new engagement, new involvement and therefore a broader growth of the club and the sport. For me, simply growing the sport and growing the club that's been a big part of my own personal development is all the benefit I need.","Yes there is, essentially because of my answer to the previous question. To break into some untapped and overlooked history of sport in Sheffield.",Nothing really just fingers crossed for it as it would be amazing to see!,Male,25-39,White,S12,,,
